sentence,score
lose world adventure - curious world want explore set adventure unfortunately quickly get lose excitement every home visit different architect even visit mom want delighted see renovated house feel like anything could happen moment good bad way getting lose be n’t bad lead even fantastic adventure never would,0
pat quest immortality - pat quest immortality search year finally find elixir life drink feel body become immortal immune disease age pat ecstatic finally could live forever that s die age 20,0
gateway knowledge - gateway knowledge mysterious place ever venture say portal world world knowledge dare enter never return except one day wander hall search way later exhaustion overtook collapse ground lie die vision see human history lay like open book moment understand everything – past present future – awoke vision could remember try desperately retrace step back gateway could write see alas die find ing,1
dark dream - awake cold sweat heart racing dream tell feel real could still see face contort anger hate come knife could feel sharp blade slicing flesh warm sticky blood run body try scream sound would come suddenly everything go dark know kill sit bed gasp air try shake feel terror hold grip dream seem real try might could not get rid image twisted face come knife finally give sleep altogether get bed turn light apartment,1
mystery phantom island - can not believe finally leslie say boat pull dock phantom island friend jason planning trip month finally happen step boat onto island immediately feel sense unease something place do not feel right begin explore quickly realize people island eerily quiet seem like frozen time find old abandon village house look like have not live year walk one house leslie feel something watch outside look saw figure shroud black standing shadow beyond could see clearlycome yell response except leaf rustle windthis place give goosebump jason saidyeah let go back boat think we ve see enough leslie reply nervously soon turn leave hear voice behind say safe herewho jason ask spin around,1
science climate chang - science climate change complex controversial topicclimate change longterm alteration temperature typical weather pattern place climate change could refer particular location planet whole also home build much love care inhibit climate change connected damage weather event frequent intense hurricane flood downpour winter storm together expand ocean water due rise temperature melt polar ice cap result rise sea level begin damage coastline result increase flooding erosion,1
overcome shortcoming - hot sunny day finish school start head home see someone stand behind curb acquaintance guy always text talk phone never go different interest catch quickly ask everything okay tell yeah nothing wrong continue talking grab onto arm something fierce look like would snap neck terrified yet peaceful time way definitely feel familiardespite thinking year psychiatrist warn stranger come intermittently reason usually involve dark gift bargain appeal succumb installssively particular boy do not either grip solidify around sleeve something hit across face,0
unforgettable journey - unforgettable journey tale two traveler set journey find fabled city gold week travel finally come across city amazed beauty spend month explore every nook cranny learning culture custom finally set return journey along way encounter many challenge make many friend finally reach home safe sound entire experience unforgettable would often look back fondly wonderful adventure,1
story perseverance - audrey young girl big heart love sing dance despite fact always last one choose school performance classmate would often make fun audrey never give keep go audition practice craft determine one day star one summer audrey attend perform art camp work hard week long finally get lead role endofcamp show take final bow receive thunderous applause parent peer alike something mean anything experience show perseverance pay ever since audrey chase dream full force,1
raise child love care - come raise child love care two important thing without child would able thrive grow healthy adult parent need provide child plenty love care order develop properly story family smith family always love supportive one another make sure spend quality time together every day even it ’s sit dinner watch movie together parent also involve child ’s life help homework attend school function whenever close relationship parent child smith kid always confident happy grow finally show appreciation someone else whether word action let know value strengthen bond,1
unforgettable tale lose cat - lulu cat love adventure anything would often sneak home search new place explore one day venture little far get lose lulu wander day try find way back home could not seem remember direction come start get really tired hungry luckily run kind woman offer help woman take lulu fed set long journey back lulus house finally feel like forever arrive lulus doorstep finally reunite relieved family whenever lulu go explore make sure wander far home would not get lose,1
curse demon knight - demon knight terrorize land curse could kill weapon forge man many brave knight try defeat fail one day young squire decide take challenge go battle armed wooden sword shield surprisingly emerge victorious secret success weapon world therefore affect demon knight curse,1
piano tuner - dad use play piano time one favorite thing year ago hand start hurt much could not even play anymore sad lonely father love play piano much do not want stop himself — he know special give back family tradition decide together would always keep track record dad play piano year make sure record forever gather everything old cd digital music file alike — ton put every sheet music dad ever play compose onto cassette tape frederic charpentier ’s 3 12 hour waldo malezas reyes san julián gigue dorleans bruce williams good one louma pedrosas fantasias de costilla,1
business law strategy successful practice - business law strategy successful practice book help many lawyer achieve success career book provide practical advice start grow successful law practice cover topic marketing business development client relation finance business law essential guide lawyer want build successful career legal field,1
legal mind art analyze case - legal mind sharp instrument analyze case break core issue see rhetoric find fact use knowledge law craft solution legally sound fair short legal mind powerful tool like tool must use correctly order achieve desire result would misuse legal mind use twist law end people dangerous know use tool care justice fairness care win matter cost may fortunately also use legal mind good people fight injustice work tirelessly ensure everyone receive fair shake law effort make world well place owe great debt gratitude,1
wonderful day - two wonderful people day one salesperson store grandma walk grandson school that s day go life make happy add fun decor routine,0
foster positive relationship - comes foster positive relationship one size fit solution however important thing keep mind help create maintain strong bond other one important aspect develop positive relationship communication essential clear communicate other listen attentively speak additionally respectful considerate people feeling need go long way create positive relationship dynamic another key element foster healthy relationship share common interest experience spend time together activity everyone enjoy help build strong sense connection people finally show appreciation someone else whether word action lets know value strengthen bond,1
uncharted territory excitement - there s whole world wait explore that s get gary excited loves learn new culture food customs hear group people plan trek uncharted territory know go along uncharted territory full surprise gary love every minute moment set constantly ask question explore everything around even manage make friend local animal journey tough ultimately rewarding gary get see part world nobody else see can not wait come back explore,1
mark big move - mark ambitious young man high aspiration wanted make big impact world find job open local grocery store leap frog ahead everyone else apply become one top priority come time interview mark prove intellectual knowledgeable also show great potential leader capacitor boss often appoint behind scene due impressive skill operation management however several quality stand mark interview process 4he early reference material available people behave pressure plus think skill extremely valuable start work section short mark perfect position,0
foundation bright future - foundation bright future found 1990 goal help elderly people live rest life respectfully organization provide financial assistance scholarship mentorship program help elderly people reach full potential year help countless people achieve dream go lead successful live one success story alexia rodriguez bear povertystricken family east los angeles help foundation bright future able earn full scholarship ucla eventually graduate honor today work accountant one large firm la give back community whenever foundation bright future truly make difference many young people lives give hope seem none work continue change life every day brighten future across america,1
