sentence,score
david drop weight - david always know lot weight lose love body start feel heavy cumbersome first david try classic method common among look shed pound dieting exercise regularly nothing work pound keep pile finally make decision take matter hand try drastic change lifestyle go vegan research vegan food available grocery store david decide mix plantainstempeh condo style food low sugar calorie 276 mesh stainless steel nutrition bag embed seed healthy eating also order vegan lean stick add variety without add overhead include 1 cup cook black bean per day well water restriction throughout day increase communication breakfastearly dinner meal avoid craving new lifestyle control gatecrashe basement 218 social function become regiment time someone arrive late make appearance would long bother much since dish already preppe instead wait homekfc every night − mandi ’s objection continue drinking post living review turn big deal health improve kitchen freshness,0
deadly - upon time seven deadly sin live together house everything perfect one day pride decide want leader group convince greed envy lust gluttony sloth wrath overthrow seventh sin actual leader work perfectly soon enough control sin however thing quickly go downhill john make mistake jane tell problem admit fault hubris pride get hit do not know respond humble round,0
story magic - sally special little girl power make thing happen use imagination whenever want something imagine would appear one day sally decide use power good start help people need would help elderly people cross street save animal drown would also help parent dish organizing room every day everyone happy see sally,1
ocean lie - upon time ocean lie sailor fisherman arab would tell different story ship sink condition boat finally beach seashore one ever bother verifying story everyone know rumor legend circulate among,1
unforgettable experience - cold winter evening walk clear head sky dark wind bite do not mind need time think walk lose thought hear faint sobbing come alleyway without think follow noise see small figure huddle corner try stay warm tentatively step close ask they re okay look big eye full tear shake head heart ache see like long I m sit next share coat warm little bit well act kindness touch something inside strange sit talk hour everything sun moment onwe good friend,1
enron law conference - day enron law conference much anticipation many powerful people attendance find law would prevent future scandal like enron 9 be sharp begin quickly become clear everyone attend soon afterward much speculation occur could cause sudden drop attendance rate say influential individual may hand decision something adamantly deny finally 1030am presentation complete speech give announcement make stating conference cancel due lack attendee,1
help friend - one summer morning good friend sit porch enjoy cup coffee talk plan future requisite chitchat somehow end need help say poor friend move new apartment try figure detail regard overnight tenant even though I ve live one almost five year seems still feel like idiot standing renter registry — namely getting fill properly free expressly request tell name go together work loophole knot we could find finally able sign everything protest I m really sorry go clean task accomplish without harm do highlight mine ineptitude border incompetence except right beforehand head begin spin sort idea answer question dodged like be not do first start date should not someone since day one come nobody ever mention put power back rental control,0
desperate quest - princess take captive dragon king choice call brave knight land rescue knight set horseback ride day never stop break finally arrive concert enjoy michael jackson performance much decide go another one,0
assembly do - upon time assembly line statistic statistician charge make sure needed ingredient put correct jar seal tight know anything go wrong would difficult fix go wrong everything start well one day something strange happen stat liquid drip line land one another fertilize instead explosion cause huge damage assembly leave many statist injure destroy altogether,0
journey star destiny - sailor stargazer long visit star destiny faraway star say grant wish journey star destiny process selfawakene personal growth many different path star destiny difficult determine one good however journey eventually find call become able shoulder magic,1
