[ID],text,[score],[COT],[num_annotators],[holistic_scores_per_annotator],[R1],[R2],[R3],[R4],[R5],[R6],[R7]
2,"Title: Deadly Text: Once upon a time, there were seven deadly sins. They lived together in a house and everything was perfect. But then one day, Pride decided that he wanted to be the leader of the group. He convinced Greed, Envy, Lust, Gluttony, Sloth and Wrath to overthrow Seventh Sin (who was the actual leader). It worked perfectly and soon enough they had control over all of the Sins. However, things quickly went downhill from there.
John made a mistakes. Then, Jane told him that he has a problem with admitting his faults and is very hubris. Pride got hit and didn’t know how to respond. Humble won in this round.",0,Error: Invalid Score,5,"{'annot0': 1, 'annot1': 0}",1,1,0,1,1,0,1
5,"Title: What is your favorite place, city or country of the world? Why? Text: My favorite place to live, work and play is of course London! It has a lot to offer both the city dweller and tourist alike. The atmosphere in the cosmopolitan metropolis feels like home. Additionally, I love the abundance of culture here; from its vibrant nightlife to its research-friendly universities. As for my favorite country/city there's no definitive answer - it just depends on what I'm feeling that day or week!",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The new sentence 'As for my favorite country/city there's no definitive answer - it just depends on what I'm feeling that day or week!' contains information inconsistent with previous presented data <r4>1</r4>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 0, 'annot2': 1}",0,0,0,1,0,0,0
7,"Title: A Life-Changing Journey Text: It was a hot, humid day when I began my journey. I had no idea where I was going or what I would find when I got there. All I knew was that something inside me told me this was the right thing to do. As the hours passed and the miles stretched out behind me, my resolve only grew stronger. This is what I needed to do; this is what would change my life forever.
As dusk started to fall, exhausted from a long day of walking in the heat,I saw a small cabin off in the distance and headed towards it. When I arrived, an old man greeted me warmly and invited me inside for some food and rest. Grateful for his hospitality,I eagerly accepted.  After we ate, he sat down with be by the fire and told me about his own spiritual journey many years ago. He spoke of how it had changed him profoundly , teaching him lessons about himself he never could have learned anywhere else. Hearing his story strengthened my own convictions about whyI had embarked on this quest-to grow and learn more about myself than ever before.  In that moment , surrounded by the peace of nature and wise words of someone who had been through a similar experience, i felt completely certain that this trip would the worst trip of my life.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The new sentence 'In that moment , surrounded by the peace of nature and wise words of someone who had been through a similar experience, i felt completely certain that this trip would the worst trip of my life.' contains information inconsistent with previous presented data <r4>1</r4>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1, 'annot3': 0, 'annot4': 0}",0,0,0,1,0,0,0
9,"Title: Helping a friend Text: One summers morning, my best friend and I were sitting on the porch enjoying a cup of coffee while talking about our plans for the future. After requisite chitchat, we somehow ended up needing some help. Or so he said! My poor friend had just moved into a new apartment and was trying to figure out all the details regarding being an overnight tenant. Even though I've been living in one myself for almost five years now (or so it seems), I still felt like an idiot standing between him and his renters' registry—namely, getting him filled out properly for free (he expressly requests not to be told his name). So off we went together, working through what loopholes knots us both could find until finally he was able to sign everything in under protest that ""I'm really sorry but this is how it's going to have to be."" All clean tasks accomplished without any harm done or highlighting of mine as ineptitude bordering on incompetence. Except that right beforehand my head began spinning with all sorts of ideas answering questions dodged: Like why wasn't this done when we first started dating? Shouldn't someone have been doing this since day one? How come nobody ever mentioned putting power back into rental control?",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 0}",1,1,1,1,1,1,1
10,"Title: The Desperate Quest Text: When the princess was taken captive by the dragon, the king had no choice but to call on the bravest knight in all the land to rescue her. The knight set out on horseback and rode for days, never stopping for a break. He finally arrived at the concert and enjoyed Michael Jackson performance so much he decided to go to another one.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The sentence 'He finally arrived at the concert and enjoyed Michael Jackson performance so much he decided to go to another one.' discusses an entity which has not been introduced yet <r2>1</r2> and the relation between it and previous ones doesn’t make sense <r3>1</r3> and contains information inconsistent with previous presented data <r4>1</r4> and is not relevant to the title <r6>1</r6> and is not relevant to previous data in the story <r7>1</r7>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 0, 'annot1': 0, 'annot2': 0}",0,1,1,1,0,1,1
12,"Title: When Hounds Fly Text: When Hounds Fly is a story about four dogs that decide to fly away from their owner's home. They travel in search of a new home, and the journey will take them all over America. One by one, they'll meeting new friends and learning important lessons along the way.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 0, 'annot2': 1}",0,0,0,0,0,0,0
15,"Title: Working at Intel Text: Intelligence is a mysterious and secret profession, something that only the richest and most well-connected people are allowed to join. Those with the right connections can get anywhere they want in the world, but it takes a lot of hard work and patience. Even for those who have what it takes, there is always someone waiting to dish out more punishment than necessary. The metal detectors at intel were always strict; even though I was Scanlan's pet project, nobody ever treated me like an colleague – not even my boss let me break through without monitoring my body language first. This surveillance Droid was much more valuable than any piece of tech Intel had ever produced. 2 years ago today I started working at intel as part of theirScanlan Unit team – one hundred percent dedicated to providing him with KILLER CODES! Years later this implant will be completely obsoleted bytoday's technologies.""",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 1}",1,1,1,0,0,0,1
18,"Title: What is a Good Friend? Text: Once upon a time, there was a good friend who everyone loved. He was always there for those in need and always went the extra mile to make things right. One day, he lost his job and had to go without pay. Unfortunately, he couldn't find any allies within the company so it became even harder for him to get by financially while also feeling alone and discarded. In response, this good friend took it upon himself to help others whenever possible through his donations or giving away what little money he could muster up. Even though times were tough at home and outside of work, friends still found ways for connection because they knew that their good friend would never leave them alone again no matter how difficult life got.",0,Error: Invalid Score,5,"{'annot0': 1, 'annot1': 1}",0,0,1,1,0,0,0
21,"Title: The Curse of the Cursed Treasure Text: There was once a cursed treasure that brought nothing but misery to those who possessed it. The Curse of the Cursed Treasure was said to be able to kill anyone who dared to touch it, and so it remained hidden for many years. But one day, someone became curious about the legend and decided to find the treasure. When they finally unearthed it, they discovered that the curse was real; within moments of touching the treasure, they died in agony.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1, 'annot3': 1, 'annot4': 1}",0,0,0,0,0,0,0
27,"Title: Race to Survive Text: The city was in chaos. The streets were full of people running and screaming. Cars were abandoned in the middle of the road, their doors left open. It was as if the world was ending. And it very well may have been.
Kate had no idea what was going on, but she knew she had to find her family. She started running towards her home, but it quickly became apparent that there wasn't time for that. She could hear whatever it was coming closer and closer and she knew she didn't stand a chance if it caught up to her.
She saw a group of people huddled together near a store entrance and ran towards them. Maybe they would know what was going on or be able to help her find her family. But as she got closer, she realized that they weren't huddled together for safety - they were fighting over something inside the store.""Get away from me!""""I'm not leaving without this!""""You're all going to die out there!""It quickly became clear that there wasn't any safety in numbers here either - only those who could defend themselves stood a chance now.""What's happening?"" Kate yelled at anyone who would listen.""We don't know! Something's attacking us - killing us!",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1}",0,0,0,0,0,0,0
